epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,39776.9,0.7998,2.622,0.21372,0.53591,1.22332,0.97469,0.97651,0.99139,0.88513,0.87381,0.8342,0.86555,0.72946,0.59876,1.80253,0.04114,0.29379,1.00688,0.003466,0.003466,0.003466
101,40170.7,0.79418,2.58787,0.21198,0.53142,1.21939,0.97482,0.97668,0.99142,0.8856,0.87376,0.83382,0.86496,0.72969,0.59771,1.80143,0.04107,0.29334,1.00612,0.0034,0.0034,0.0034
102,40564.7,0.793,2.58573,0.21265,0.53341,1.22114,0.97519,0.9766,0.9913,0.88582,0.87078,0.83726,0.86636,0.73035,0.59694,1.79927,0.04096,0.293,1.00566,0.003334,0.003334,0.003334
103,40959.5,0.79022,2.56136,0.21176,0.52891,1.21589,0.97557,0.97719,0.99137,0.88579,0.86882,0.84231,0.86851,0.7311,0.59592,1.79408,0.04085,0.29258,1.00506,0.003268,0.003268,0.003268
104,41353.8,0.79485,2.57016,0.21084,0.52879,1.21921,0.97598,0.9763,0.99137,0.88635,0.87031,0.84287,0.86968,0.73188,0.59497,1.78762,0.04076,0.29201,1.00458,0.003202,0.003202,0.003202
105,41750.3,0.78897,2.57143,0.21187,0.53074,1.21778,0.97641,0.97597,0.99148,0.88722,0.87105,0.84376,0.87033,0.73221,0.59383,1.783,0.04067,0.29146,1.00392,0.003136,0.003136,0.003136
106,42148.9,0.7919,2.54375,0.21038,0.53246,1.2188,0.97666,0.97578,0.9915,0.88752,0.87068,0.84453,0.87054,0.73272,0.59261,1.77976,0.04059,0.29097,1.00326,0.00307,0.00307,0.00307
107,42547.2,0.78675,2.51882,0.20843,0.52837,1.21645,0.97621,0.97655,0.9915,0.88765,0.87104,0.84465,0.87064,0.73341,0.59201,1.77599,0.04045,0.29061,1.0028,0.003004,0.003004,0.003004
108,42948.8,0.78742,2.51557,0.2096,0.52919,1.21733,0.97626,0.97655,0.99147,0.88768,0.8737,0.84457,0.87152,0.734,0.59156,1.77311,0.04035,0.29023,1.00247,0.002938,0.002938,0.002938
109,43350.4,0.78454,2.52673,0.20855,0.5258,1.2173,0.97753,0.9759,0.99147,0.88808,0.87436,0.84521,0.87198,0.73477,0.59077,1.7701,0.04027,0.29007,1.00198,0.002872,0.002872,0.002872
